TEST #,TABLE,FIELD,RULE,,EXPLANATION,SQL STATEMENT,IN PLTS,TEST STATUS IN PLTS,COMMENT
118,BMP_INSPECTION,RSR_TRSH,If not 0 or NR then TRASHRACK in SWMRISER table or WEIR table must be 1 unless STR_TYPE = EM.,,"If riser trash rack rating (RSR_TRSH) has any value other than 0, then trash rack (TRASHRACK) in storm water management riser (SWMRISER) or weir (WEIR) table must have a value other than 0 unless STR_TYPE = EM.","NOT DBO.BMP_INSPECTION.RSR_TRSH in ('0', 'NR') AND DBO.BMP_INSPECTION.FACILITY_ID  IN ( SELECT DBO.SWMFACILITYHASCNTRLSTRUCTURES.FACILITY_ID FROM (DBO.SWMFACILITYHASCNTRLSTRUCTURES INNER JOIN DBO.STRUCTURES ON DBO.SWMFACILITYHASCNTRLSTRUCTURES.STRUCTURE_ID = DBO.STRUCTURES.STRUCTURE_ID) INNER JOIN DBO.WEIR ON DBO.STRUCTURES.STRUCTURE_ID = DBO.WEIR.STRUCTURE_ID WHERE (((DBO.WEIR.TRASHRACK)<>'1'AND DBO.STRUCTURES.STR_TYPE <> 'EM')) UNION SELECT DBO.SWMFACILITYHASCNTRLSTRUCTURES.FACILITY_ID FROM (DBO.SWMFACILITYHASCNTRLSTRUCTURES INNER JOIN DBO.STRUCTURES ON DBO.SWMFACILITYHASCNTRLSTRUCTURES.STRUCTURE_ID = DBO.STRUCTURES.STRUCTURE_ID) INNER JOIN DBO.SWMRISER ON DBO.STRUCTURES.STRUCTURE_ID = DBO.SWMRISER.STRUCTURE_ID WHERE (((DBO.SWMRISER.TRASHRACK)<> '1' AND DBO.STRUCTURES.STR_TYPE <> 'EM')) )",YES,WORKS,
119,BMP_INSPECTION,RSR_VALV,"If not 0 then RSR_SEDI, RSR_STRC, and RSR_OPEN must have value other than 0",,"If riser valve rating (RSR_VALV) has any value other than 0, riser sediment rating (RSR_SEDI), riser opening rating (RSR_OPEN), and riser structure rating (RSR_STRC) must have a value other than 0.",RSR_VALV <> '0' AND (RSR_SEDI = '0' OR RSR_STRC = '0' OR RSR_OPEN = '0'),YES,WORKS,
120,BMP_INSPECTION_ACTION,BMP_INSPECT_ID,Cannot be NULL,,Best Management Practice Inspection Identifier (BMP_INSPECT_ID) cannot be NULL,BMP_INSPECT_ID IS NULL,YES,WORKS,
121,CONTRACT,CNTRCT_PLAN,Cannot be NULL,,Contract Plan (CNTRCT_PLAN) cannot be NULL,CNTRCT_PLAN IS NULL,YES,WORKS,
122,CONTRACT,CONTRACT_ID,Cannot be NULL,,Contract identifier (CONTRACT_ID) cannot be NULL,CONTRACT_ID IS NULL,YES,WORKS,
123,CONTRACT,CNTRCT_SHA,Cannot be NULL,,SHA contract (CNTRCT_SHA) cannot be NULL,CNTRCT_SHA IS NULL,YES,WORKS,
124,CONVEYANCE,CONV_TYPE,"If DITCH then UPSTRM_STR cannot have STR_TYPE in STRUCTURES = MH, JB, PC, YC, CI, PS, PB, PD, UNK MH, UNK PS",chk_convey_ditch_upstrm,"If conveyance type (CONV_TYPE) is DITCH then the upstream structure (UPSTRM_STR) cannot be structure type (STR_TYPE) in the structures table (STRUCTURES) equal to manhole (MH), junction box (JB), pipe connection (PC), wye connection (YC), capped inlet (CI), pump station (PS), bend (PB), pipe direction (PD), unknown manhole (UNK MH), or unknown pump station (UNK PS).","CONV_TYPE = 'DITCH' AND UPSTRM_STR IN(SELECT STRUCTURE_ID FROM STRUCTURES WHERE STR_TYPE IN('MH', 'JB', 'PC', 'YC', 'CI', 'PS', 'PB', 'PD', 'UNK MH', 'UNK PS'))",YES,WORKS,
125,CONVEYANCE,CONV_TYPE,"If DITCH then DNSTRM_STR cannot have STR_TYPE in STRUCTURES = MH, PC, YC, CI, PS, PB, PD, UNK MH, UNK PS",chk_convey_ditch_dwnstrm,"If conveyance type (CONV_TYPE) is DITCH then the downstream structure (DNSTRM_STR) cannot be structure type (STR_TYPE) in the structures table (STRUCTURES) equal to manhole (MH), pipe connection (PC), wye connection (YC), capped inlet (CI), pump station (PS), bend (PB), pipe direction (PD), unknown manhole (UNK MH), or unknown pump station (UNK PS).","CONV_TYPE = 'DITCH' AND DNSTRM_STR IN(SELECT STRUCTURE_ID FROM STRUCTURES WHERE STR_TYPE IN('MH', 'PC', 'YC', 'CI', 'PS', 'PB', 'PD', 'UNK MH', 'UNK PS'))",YES,WORKS,
126,CONVEYANCE,CONV_TYPE,"If PIPE then UPSTRM_STR cannot have STR_TYPE in STRUCTURES = ID, EW,EM",chk_convey_pipe_upstrm,"If conveyance type (CONV_TYPE) is PIPE then the upstream structure (UPSTRM_STR) cannot have structure type (STR_TYPE) equal to ditch intersection (ID), end wall (EW), or emergency spillway (EM).","CONV_TYPE = 'PIPE' AND UPSTRM_STR IN(SELECT STRUCTURE_ID FROM STRUCTURES WHERE STR_TYPE IN('ID','EW','EM'))",YES,WORKS,
127,CONVEYANCE,CONV_TYPE,"If PIPE then DNSTRM_STR cannot have STR_TYPE in STRUCTURES = ID, HW,EM",chk_convey_pipe_dwnstrm,"If conveyance type (CONV_TYPE) is PIPE then the downstream structure (DNSTRM_STR) cannot have structure type (STR_TYPE) equal to ditch intersection (ID), head wall (HW), or emergency spillway (EM).","CONV_TYPE = 'PIPE' AND DNSTRM_STR IN(SELECT STRUCTURE_ID FROM STRUCTURES WHERE STR_TYPE IN('ID','HW','EM'))",YES,WORKS,
128,CONVEYANCE,CONVEYANCE_ID,Cannot be NULL,chk_conveyance_null,Conveyance identifier (CONVEYANCE_ID) cannot be NULL,CONVEYANCE_ID IS NULL,YES,WORKS,
129,CONVEYANCE,DNSTRM_STR,Cannot be NULL,chk_conveyance_dnstr_struc_null,Downstream structure (DNSTRM_STR) cannot be NULL,DNSTRM_STR IS NULL,YES,WORKS,
130,CONVEYANCE,META_ID,Cannot be NULL,chk_conveyance_meat_id_null,Metadata identifier (META_ID) cannot be NULL,META_ID IS NULL,YES,WORKS,
131,CONVEYANCE,META_ID,"In METADATA_INFO table, INFO_BASE cannot be Aerial",chk_convey_meta_info_base,"If metadata identifier (META_ID) has a value in the conveyance (CONVEYANCE) table, the data collection method (INFO_BASE) cannot be aerial (AERIAL) in the metadata information (METADATA_INFO) table.",META_ID IN (SELECT META_ID FROM METADATA_INFO WHERE INFO_BASE IN('AERIAL')),YES,WORKS,
132,CONVEYANCE,UNIT_LEN,Cannot be NULL,chk_conveyance_unit_len,Unit length (UNIT_LEN) cannot be NULL. ,UNIT_LEN IS NULL,YES,WORKS,
133,CONVEYANCE,UPSTRM_STR,Cannot be NULL,chk_conveyance_upstrm,Upstream structure (UPSTRM_STR) cannot be NULL,UPSTRM_STR IS NULL,YES,WORKS,
263,CONVEYANCE,PLANDATE,Cannot be NULL or 0,chk_struct_plandate,Plan date (PLANDATE) cannot be NULL or 0.,PLANDATE IS NULL OR PLANDATE = 0,YES,WORKS,
134,DITCH,CONVEYANCE_ID,Cannot be NULL,chk_ditch_conveyance_id_null,Conveyance identifier (CONVEYANCE_ID) cannot be NULL,CONVEYANCE_ID IS NULL,YES,WORKS,
135,DRAINAGE_STRUCTURE,STRUCTURE_ID,Cannot be NULL,,Structure identifier (STRUCTURE_ID) cannot be NULL,STRUCTURE_ID IS NULL,YES,WORKS,
136,DRAINAGE_SWMFACILITY,FACILITY_ID,Cannot be NULL,,Facility identifier (FACILITY_ID) cannot be NULL,FACILITY_ID IS NULL,YES,WORKS,
137,DRAINAGE_SWMFACILITY,TREATMENT_AREA,Cannot be NULL,,Treatment area (TREATMENT_AREA) cannot be NULL,TREATMENT_AREA IS NULL,YES,WORKS,
138,STRUCTURES,MAJ_OUTF,"If yes then record should exist in Conveyance Table,  DNSTRM_STR",chk_struct_dnstrm_str,If major outfall (MAJ_OUTF) equals true (1) then the structure identifier (STRUCTURE_ID) should exist in the conveyance table (CONVEYANCE) downstream structure (DNSTRM_STR) field.,MAJ_OUTF='1' And STRUCTURE_ID NOT IN(SELECT DNSTRM_STR FROM CONVEYANCE WHERE DNSTRM_STR IS NOT NULL),YES,WORKS,
139,STRUCTURES,MAJ_OUTF,If yes then Structures table should have STUDY_PT = Yes,chk_struct_outf_study_pt,If major outfall (MAJ_OUTF) equals true (1) then the study point field (STUDY_PT) in the structures table (STRUCTURES) must equal yes.,MAJ_OUTF='1' AND STUDY_PT NOT IN('1'),YES,WORKS,
140,STRUCTURES,MAJ_OUTF,If yes then XS_AREA in PIPE = 1018 or greater,chk_struct_strucutre_xs_area,If major outfall (MAJ_OUTF) equals true (1) then area (XS_AREA) in the pipes table (PIPE) must be greater than or equal to 1018.,"STRUCTURE_ID in (SELECT STRUCTURES.STRUCTURE_ID FROM STRUCTURES INNER JOIN (CONVEYANCE INNER JOIN PIPES ON CONVEYANCE.CONVEYANCE_ID = PIPES.CONVEYANCE_ID) ON STRUCTURES.STRUCTURE_ID = CONVEYANCE.DNSTRM_STR WHERE (((STRUCTURES.MAJ_OUTF)='1') AND ((PIPES.XS_AREA)<'1018'))) OR STRUCTURE_ID in (SELECT STRUCTURES.STRUCTURE_ID FROM STRUCTURES INNER JOIN (CONVEYANCE INNER JOIN PIPES ON CONVEYANCE.CONVEYANCE_ID = PIPES.CONVEYANCE_ID) ON STRUCTURES.STRUCTURE_ID = CONVEYANCE.UPSTRM_STR WHERE (((STRUCTURES.MAJ_OUTF)='1') AND ((PIPES.XS_AREA)<'1018')))
",YES,WORKS,
141,STRUCTURES,MAJ_OUTF,If yes then record in INSPECTION and  FLDSC_SITE,"chk_struct_inspection,chk_struct_fldsc_site",If major outfall (MAJ_OUTF) equals true (1) then the structure identifier (STRUCTURE_ID) must exist in the inspection (INSPECTION) table and the field screen site (FLDSC_SITE) table.,MAJ_OUTF = '1' AND (STRUCTURE_ID NOT IN(SELECT STRUCTURE_ID FROM FLDSC_SITE WHERE STRUCTURE_ID IS NOT NULL) OR STRUCTURE_ID NOT IN(SELECT STRUCTURE_ID FROM INSPECTION WHERE STRUCTURE_ID IS NOT NULL)),YES,WORKS,
142,STRUCTURES,NPDES_OUTF,"If yes then record should exist in Conveyance Table,  DNSTRM_STR",chk_struct_conveyance,If npdes outfall (NPDES_OUTF) equals true (1) then the structure identifier (STRUCTURE_ID) should exist in the conveyance table (CONVEYANCE) downstream structure (DNSTRM_STR) field.,NPDES_OUTF='1' And STRUCTURE_ID NOT IN(SELECT DNSTRM_STR FROM CONVEYANCE WHERE DNSTRM_STR IS NOT NULL),YES,WORKS,
143,STRUCTURES,NPDES_OUTF,If yes then Structures table should have STUDY_PT = Yes,chk_struct_outf_study_pt,If npdes outfall (NPDES_OUTF) equals true (1) then the study point field (STUDY_PT) in the structures table (STRUCTURES) must equal yes.,NPDES_OUTF='1' AND STUDY_PT NOT IN('1'),YES,WORKS,
144,STRUCTURES,NPDES_OUTF,If yes then RECOMMENDATION in P_INSP_REC = 7,,If npdes outfall (NPDES_OUTF) equals true (1) then pipe inspection recommendation (P_INSP_REC) in the recommendation (RECOMMENDATION) table must equal 'waters of the United States or or wetlands at outfall (7).,"STRUCTURE_ID IN (SELECT STRUCTURE_ID FROM (SELECT DNSTRM_STR AS S_DWN, UPSTRM_STR AS S_UP FROM CONVEYANCE WHERE CONVEYANCE_ID IN( SELECT CONVEYANCE_ID FROM PIPE_INSPECTION WHERE P_INSPECT_ID IN( SELECT P_INSPECT_ID FROM P_INSP_REC WHERE RECOMMENDATION <> 7))) AS A, STRUCTURES WHERE STRUCTURE_ID IN(A.S_DWN,A.S_UP) AND NPDES_OUTF = '1' )",YES,WORKS,
145,STRUCTURES,MAJ_OUTF,If yes then record in DRAINAGE_STRUCTURE table,chk_struct_drainage,If major outfall (MAJ_OUTF) equals true (1) then the structure identifier (STRUCTURE_ID) must exist in the drainage structure (DRAINAGE_STRUCTURE) table.,MAJ_OUTF = '1' AND STRUCTURE_ID NOT IN(SELECT STRUCTURE_ID FROM DRAINAGE_STRUCTURE WHERE STRUCTURE_ID IS NOT NULL),YES,WORKS,
146,END_HEADWALL,STRUCTURE_ID,Cannot be NULL,chk_endheadwall_struc_id_null,Structure identifier (STRUCTURE_ID) cannot be NULL,STRUCTURE_ID IS NULL,YES,WORKS,
147,END_HEADWALL,,"STR_TYPE in STRUCTURES = EW, HW, ES, PP, UNK EH",chk_endheadwall_str_type,"All records in the end headwall table (END_HEADWALL) must have a structure type (STR_TYPE) in the structures table (STRUCTURES) equal to end wall (EW), headwall (HW), end section (ES), projecting pipe (PP), or unknown end headwall (UNK_EH). ","STRUCTURE_ID IN(SELECT STRUCTURE_ID FROM STRUCTURES WHERE STR_TYPE NOT IN('PP', 'EW', 'HW', 'ES', 'UNK EH'))",YES,WORKS,
148,FILE_ATTACH_STR,FILENAME,Cannot be NULL,,File name (FILENAME) cannot be NULL,FILENAME IS NULL,YES,WORKS,
149,FILE_ATTACH_STR,INSPECT_ID,Cannot be NULL,,Inspection identifier (INSPECT_ID) cannot be NULL,INSPECT_ID IS NULL,YES,WORKS,
150,FILE_ATTACH_SWM,BMP_INSPECT_ID,Cannot be NULL,,Best Practice Management inspection identifier (BMP_INSPECT_ID) cannot be NULL,BMP_INSPECT_ID  IS NULL,YES,WORKS,
151,FILE_ATTACH_SWM,FILENAME,Cannot be NULL,,File name (FILENAME) cannot be NULL,FILENAME IS NULL,YES,WORKS,
152,FILE_SCAN,CONTRACT_ID,Cannot be NULL,,Contract identifier (CONTRACT_ID) cannot be NULL,CONTRACT_ID IS NULL,YES,WORKS,
153,FILE_SCAN,FACILITY_ID,Cannot be NULL,,Facility identifier (FACILITY_ID) cannot be NULL,FACILITY_ID IS NULL,YES,WORKS,
154,FILE_SCAN,FILENAME,Cannot be NULL,,File name (FILENAME) cannot be NULL,FILENAME IS NULL,YES,WORKS,
155,FLDSC_SITE,LOC_SCREEN,Cannot be NULL,,Location description of the major outfall (LOC_SCREEN) cannot be NULL,LOC_SCREEN IS NULL,YES,WORKS,
156,FLDSC_SITE,STREAMDIST,Cannot be NULL,,Stream distance (STREAMDIST) cannot be NULL,STREAMDIST IS NULL,YES,WORKS,
157,FLDSC_SITE,STRUCTURE_ID,Cannot be NULL,,Structure identifier (STRUCTURE_ID) cannot be NULL,STRUCTURE_ID IS NULL,YES,WORKS,
158,FLDSC_SITE,VIC_SCREEN,Cannot be NULL,,ADC map location of the major outfall (VIC_SCREEN) cannot be NULL,VIC_SCREEN IS NULL,YES,WORKS,
159,FLOW_CHAR,INSPECT_ID,Cannot be NULL,,Inspection identifier (INSPECT_ID) cannot be NULL,INSPECT_ID IS NULL,YES,WORKS,
160,BMP_INSPECTION,RSR_TRSH,"If not 0 or NR then RSR_SEDI, RSR_STRC, and RSR_OPEN must have value other than 1",,"If riser trash rack rating (RSR_TRSH) has any value other than 0, riser sediment rating (RSR_SEDI), riser opening rating (RSR_OPEN), and riser structure rating (RSR_STRC) must have a value other than 1.",RSR_TRSH <> '0' AND (RSR_SEDI = '0' OR RSR_STRC = '0' OR RSR_OPEN = '0'),YES,WORKS,
161,INLET,STRUCTURE_ID,Cannot be NULL,chk_inlet_null,Structure identifier (STRUCTURE_ID) cannot be NULL,STRUCTURE_ID IS NULL,YES,WORKS,
162,INLET,,"STR_TYPE in STRUCTURES = IN, SH, UNK IN",chk_inlet_str_type,"All records in the inlet table (INLET) must have a structure type (STR_TYPE) in the structures table (STRUCTURES) equal to inlet (IN), springhead (SH), or unknown inlet (UNK_IN).","STRUCTURE_ID IN(SELECT STRUCTURE_ID FROM STRUCTURES WHERE STR_TYPE NOT IN('IN', 'SH', 'UNK IN'))",YES,WORKS,
163,INSPECTION,DATE_SCRN,Must be 3 days after LAST_RAIN,,Date the major outfall was screened (DATE_SCRN) must be three days after the last rain (LAST_RAIN).,"DATEDIFF(DAY, LAST_RAIN, DATE_SCRN) <= 3",YES,WORKS,
164,INSPECTION,DATE_SCRN,Cannot be NULL,,Date the major outfall was screened (DATE_SCRN) cannot be NULL,DATE_SCRN IS NULL,YES,WORKS,
165,INSPECTION,DEPTH,"If value, then FLOW_OBSERV = True",,"If depth (DEPTH) has a value, then the observed flow (FLOW_OBSERV) must be equal to true.",DEPTH > 0 AND FLOWOBSERV <> '1',YES,WORKS,
166,INSPECTION,FLOWOBSERV,"If yes, then record needs to exist in FLOW_CHAR",,"If observed flow (FLOWOBSERV) is equal to true (1), then a record must be in the flow characteristics (FLOW_CHAR) table.",FLOWOBSERV = '1' AND INSPECT_ID NOT IN(SELECT INSPECT_ID FROM FLOW_CHAR WHERE INSPECT_ID IS NOT NULL),YES,WORKS,
167,INSPECTION,FLOWOBSERV,"If yes, Then DEPTH must be greater than 0",,"If observed flow (FLOWOBSERV) is equal to true (1), then depth (DEPTH) must be greater than 0.",FLOWOBSERV = '1' AND DEPTH <= 0,YES,WORKS,
168,INSPECTION,INSPECT_ID,Cannot be NULL,,Inspection identifier (INSPECT_ID) cannot be NULL,INSPECT_ID IS NULL,YES,WORKS,
169,INSPECTION,INSPECTR,Cannot be NULL,,Inspector (INSPECTR) cannot be NULL,INSPECTR IS NULL,YES,WORKS,
170,INSPECTION,LAST_RAIN,Cannot be NULL,,Last rain (LAST_RAIN) cannot be NULL,LAST_RAIN IS NULL,YES,WORKS,
171,INSPECTION,SCRTIME,Cannot be NULL,,SCRTIME cannot be NULL,SCRTIME IS NULL,YES,WORKS,
172,INSPECTION,STRUCTURE_ID,Cannot be NULL,,Structure identifier (STRUCTURE_ID) cannot be NULL,STRUCTURE_ID IS NULL,YES,WORKS,
173,MANHOLE_CONN,STRUCTURE_ID,Cannot be NULL,chk_manhole_null,Structure identifier (STRUCTURE_ID) cannot be NULL,STRUCTURE_ID IS NULL,YES,WORKS,
174,MANHOLE_CONN,,"STR_TYPE in STRUCTURES = ID, MH, JB, PC, YC, CI, PB, PD, UNK MH",chk_manhole_conn_str_type,"All records in the manhole table (MANHOLE) must have a structure type (STR_TYPE) in the structures table (STRUCTURES) equal to ditch intersection (ID), manhole (MH), junction box (JB), pipe connection (PC), wye connection (YC), capped inlet (CI), bend (PB), pipe direction (PD), or unknown manhole (UNK MH). ","STRUCTURE_ID IN(SELECT STRUCTURE_ID FROM STRUCTURES WHERE STR_TYPE NOT IN('ID', 'MH', 'JB', 'PC', 'YC', 'CI', 'PB', 'PD', 'UNK MH'))",YES,WORKS,
175,METADATA_INFO,CREATOR,Cannot be NULL,,Creator (CREATOR) cannot be NULL,CREATOR IS NULL,YES,WORKS,
176,METADATA_INFO,DATECREATE,Cannot be NULL,,Date created (DATECREATE) cannot be NULL,DATECREATE IS NULL,YES,WORKS,
177,BMP_INSPECTION,DATE_INSP,"If value is between10/30/** and 5/15/** then BMP_VEG, SITE_VEG, EMBD_CVR, EMBU_CVR must be NR.",,"If the Inspection date (DATE_INSP) is between 5/15 and 10/30 then the best management practice vegetation rating (pertaining to the BMP design) (BMP_VEG), the site vegetation rating for vegetation around the BMP (SITE_VEG), downstream embankment cover (EMBD_CVR), and upstream embankment cover (EMBU_CVR) must be not rated (NR).",(NOT (MONTH(DATE_INSP) BETWEEN 5 AND 10) or (MONTH(DATE_INSP) = 5 and DAY(DATE_INSP) <=15) or (MONTH(DATE_INSP) = 10 and DAY(DATE_INSP) >=30)) AND (BMP_VEG <> 'NR' OR SITE_VEG <> 'NR' OR EMBD_CVR <> 'NR' OR EMBU_CVR <> 'NR') ,YES,WORKS,
178,METADATA_INFO,META_ID,Cannot be NULL,,Metadata identifier (META_ID) cannot be NULL,META_ID IS NULL,YES,WORKS,
179,P_INSP_PHOTO,FILENAME,Cannot be NULL,,File name (FILENAME) cannot be NULL,FILENAME IS NULL,YES,WORKS,
180,P_INSP_PHOTO,P_INSPECT_ID,Cannot be NULL,,Pipe inspection identifier (P_INSPECT_ID) cannot be NULL,P_INSPECT_ID IS NULL,YES,WORKS,
182,P_INSP_REC,P_INSPECT_ID,Cannot be NULL,,Pipe inspection identifier (P_INSPECT_ID) cannot be NULL,P_INSPECT_ID IS NULL,YES,WORKS,
183,FLDSC_SITE,STRUCTURE_ID,"If has value, then DESC_OUTF must equal PIPES MTRL_PIPE",,"If structure identifier (STRUCTURE_ID) has value in the (FLDSC_SITE) table, then the outfall description (DESC_OUTF) must equal the pipe material (MTRL_PIPE) in the pipes (PIPES) table.",STRUCTURE_ID IN (SELECT STRUCTURES.STRUCTURE_ID FROM(FLDSC_SITE LEFT JOIN STRUCTURES ON FLDSC_SITE.STRUCTURE_ID = STRUCTURES.STRUCTURE_ID) LEFT JOIN (CONVEYANCE LEFT JOIN PIPES ON CONVEYANCE.CONVEYANCE_ID = PIPES.CONVEYANCE_ID) ON STRUCTURES.STRUCTURE_ID = CONVEYANCE.UPSTRM_STR WHERE (((STRUCTURES.STRUCTURE_ID) IS NOT NULL) AND ((FLDSC_SITE.DESC_OUTFL) <> PIPES.MTRL_PIPE)) UNION ALL SELECT STRUCTURES.STRUCTURE_ID FROM (FLDSC_SITE LEFT JOIN STRUCTURES ON FLDSC_SITE.STRUCTURE_ID = STRUCTURES.STRUCTURE_ID) LEFT JOIN (CONVEYANCE LEFT JOIN PIPES ON CONVEYANCE.CONVEYANCE_ID = PIPES.CONVEYANCE_ID) ON STRUCTURES.STRUCTURE_ID = CONVEYANCE.DNSTRM_STR WHERE (((STRUCTURES.STRUCTURE_ID) IS NOT NULL) AND ((FLDSC_SITE.DESC_OUTFL) <> PIPES.MTRL_PIPE))),YES,WORKS,
184,P_INSP_SUBRATINGS,P_INSPECT_ID,Cannot be NULL,,Pipe inspection identifier (P_INSPECT_ID) cannot be NULL,P_INSPECT_ID IS NULL,YES,WORKS,
185,P_INSP_SUBRATINGS,SUBRATING,If 24 then RATING in PIPE_INSPECTIONS must be 0,,If the value for subrating (SUBRATING) is 'structure not located' (24) then rating (RATING) in the pipe inspection table (PIPE_INSPECTIONS) must equal 0.,SUBRATING=24 AND P_INSPECT_ID NOT IN(SELECT P_INSPECT_ID FROM PIPE_INSPECTION WHERE RATING ='0'),YES,WORKS,
